Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","CP_Radial_D5.0mm_P2.00mm",163.455113,-123.250000,180.000000,top
"C2","220u","CP_Radial_D5.0mm_P2.00mm",152.500000,-123.250000,180.000000,top
"C3","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",161.750000,-115.187500,-90.000000,top
"C4","100 n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",150.500000,-115.312500,90.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",156.250000,-115.250000,90.000000,top
"D1","LED","LED_D5.0mm",224.000000,-76.540000,90.000000,top
"D2","LED","LED_D5.0mm",224.000000,-83.775000,90.000000,top
"D3","LED","LED_D5.0mm",224.000000,-91.000000,90.000000,top
"D4","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",160.400000,-70.500000,0.000000,top
"D5","LED","LED_D5.0mm",224.000000,-98.775000,90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",207.000000,-109.632500,180.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",151.750000,-67.000000,0.000000,top
"R1","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",207.420000,-78.000000,0.000000,top
"R2","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",217.580000,-83.000000,180.000000,top
"R3","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",217.580000,-89.000000,180.000000,top
"R4","4k7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",217.580000,-95.000000,180.000000,top
"R5","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",166.300000,-103.250000,180.000000,top
"R6","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",151.550000,-102.000000,180.000000,top
"R7","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.950000,-128.000000,0.000000,top
"R8","2K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",151.700000,-106.000000,180.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",148.450000,-73.250000,0.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",148.500000,-78.000000,0.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",194.300000,-107.500000,0.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",194.300000,-103.750000,0.000000,top
"R13","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",169.950000,-116.500000,0.000000,top
"R14","2K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",166.300000,-107.500000,180.000000,top
"R15","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",187.300000,-103.500000,180.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",173.550000,-103.250000,180.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",181.050000,-103.500000,180.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",173.550000,-107.750000,180.000000,top
"R19","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",177.550000,-121.250000,180.000000,top
"R20","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",169.950000,-121.000000,180.000000,top
"SW1","SW_Push_Dual_x2","SW_PUSH_6mm_H4.3mm",188.500000,-119.000000,0.000000,top
"SW2","SW2","Nidec_Copal_CAS-120A",139.000000,-94.000000,0.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm",187.055000,-71.810000,180.000000,top
"U2","4027","DIP-16_W7.62mm_Socket_LongPads",161.690000,-78.360000,0.000000,top
"U3","4027","DIP-16_W7.62mm_Socket_LongPads",194.190000,-78.110000,0.000000,top
"U4","74LS47","DIP-16_W7.62mm_Socket_LongPads",177.690000,-78.110000,0.000000,top
"U5","FYS-3911BUHR-21","HDSP-7401",153.967500,-94.267500,180.000000,top
"U6","74LVC1G11","SOT-23-6",197.137500,-67.000000,0.000000,top
"U7","NE555P","DIP-8_W7.62mm",137.445000,-101.940000,0.000000,top
